timestamp,x,y,z,label,session_id
1756552011689,0.069091796875,0.261474609375,0.865966796875,Moderate,1756552220552_Moderate
1756552011744,0.1206054762005806,0.34912109375,0.6416015625,Moderate,1756552220552_Moderate
1756552011799,-0.032470703125,0.21923828125,0.960693359375,Moderate,1756552220552_Moderate
1756552011854,0.367919921875,0.21875,0.6376953125,Moderate,1756552220552_Moderate
1756552011910,0.271484375,-0.25341796875,0.151123046875,Moderate,1756552220552_Moderate
1756552011965,0.6923828125,-0.1176757737994194,0.359130859375,Moderate,1756552220552_Moderate
1756552012020,0.390380859375,-0.412353515625,0.701171875,Moderate,1756552220552_Moderate
1756552012070,0.314208984375,-0.82763671875,-0.089111328125,Moderate,1756552220552_Moderate
1756552012126,0.97021484375,-1.24658203125,0.61767578125,Moderate,1756552220552_Moderate
1756552012177,1.8371580839157104,-1.059814453125,0.37158203125,Moderate,1756552220552_Moderate
1756552012235,2.2119140625,-0.55126953125,1.089599609375,Moderate,1756552220552_Moderate
1756552012287,2.078369140625,-0.1015625,0.150146484375,Moderate,1756552220552_Moderate
1756552012343,2.014892578125,0.201416015625,-0.4257812798023224,Moderate,1756552220552_Moderate
1756552012398,0.66845703125,-0.113037109375,-0.72705078125,Moderate,1756552220552_Moderate
1756552012454,0.7744140625,-0.3642578125,0.501953125,Moderate,1756552220552_Moderate
1756552012509,0.305419921875,-0.553466796875,0.076416015625,Moderate,1756552220552_Moderate
1756552012564,0.5732421875,-0.760498046875,-0.18115234375,Moderate,1756552220552_Moderate
1756552012619,0.612548828125,-0.75341796875,-0.2346191257238388,Moderate,1756552220552_Moderate
1756552012675,0.49658203125,-0.685546875,-0.00048828125,Moderate,1756552220552_Moderate
1756552012754,0.857177734375,-1.0556640625,-0.138427734375,Moderate,1756552220552_Moderate
1756552012782,0.837646484375,-0.69970703125,-0.130126953125,Moderate,1756552220552_Moderate
1756552012835,0.48583984375,-0.55908203125,0.180908203125,Moderate,1756552220552_Moderate
1756552012890,-0.02783203125,-0.4277344048023224,-0.08154296875,Moderate,1756552220552_Moderate
1756552012941,0.02734375,-2.880126953125,-0.525146484375,Moderate,1756552220552_Moderate
1756552012996,-0.27880859375,-0.724365234375,0.3310546875,Moderate,1756552220552_Moderate
1756552013051,-0.275634765625,-0.658447265625,0.06689453125,Moderate,1756552220552_Moderate
1756552013102,-0.145751953125,-1.010009765625,0.3896484375,Moderate,1756552220552_Moderate
1756552013157,0.047119140625,-0.978515625,0.023681640625,Moderate,1756552220552_Moderate
1756552013213,0.1062011644244194,-0.9841307997703552,-0.03662109375,Moderate,1756552220552_Moderate
1756552013268,0.187744140625,-1.1337890625,0.338134765625,Moderate,1756552220552_Moderate
1756552013318,0.310546875,-1.07568359375,0.08154296875,Moderate,1756552220552_Moderate
1756552013373,-0.07958984375,-0.8986815810203552,-0.271728515625,Moderate,1756552220552_Moderate
1756552013428,-0.13720703125,-0.9033203125,0.281005859375,Moderate,1756552220552_Moderate
1756552013479,-0.01416015625,-1.164306640625,-0.173828125,Moderate,1756552220552_Moderate
1756552013534,0.242919921875,-1.11474609375,0.14111328125,Moderate,1756552220552_Moderate
1756552013589,0.26611328125,-1.094970703125,0.043701171875,Moderate,1756552220552_Moderate
1756552013645,0.3740234375,-1.5078125,-0.04248046875,Moderate,1756552220552_Moderate
1756552013748,0.464599609375,-1.076416015625,-0.830322265625,Moderate,1756552220552_Moderate
1756552013754,-0.080810546875,-1.362548828125,0.263427734375,Moderate,1756552220552_Moderate
1756552013810,0.045166015625,-1.147705078125,0.802734375,Moderate,1756552220552_Moderate
1756552013865,1.509765625,-0.863525390625,-0.28466796875,Moderate,1756552220552_Moderate
1756552013916,-0.101318359375,-0.9765625,-0.27392578125,Moderate,1756552220552_Moderate
1756552013971,0.144287109375,-0.692626953125,0.439697265625,Moderate,1756552220552_Moderate
1756552014027,-0.404296875,-0.613525390625,0.177978515625,Moderate,1756552220552_Moderate
1756552014082,-0.7236328125,-0.70458984375,0.010498046875,Moderate,1756552220552_Moderate
1756552014137,1.9736328125,-1.9763184785842896,-1.273681640625,Moderate,1756552220552_Moderate
1756552014193,0.02294921875,-0.711181640625,-0.0439453125,Moderate,1756552220552_Moderate
1756552014248,-0.142822265625,-1.576904296875,0.620361328125,Moderate,1756552220552_Moderate
1756552014298,-0.078857421875,0.0583496056497097,-0.384521484375,Moderate,1756552220552_Moderate
1756552014353,-0.1123046875,-1.28857421875,-0.01025390625,Moderate,1756552220552_Moderate
1756552014409,0.14453125,-1.1552734375,0.75537109375,Moderate,1756552220552_Moderate
1756552014459,0.135986328125,-0.642822265625,0.037841796875,Moderate,1756552220552_Moderate
1756552014514,-0.110107421875,-1.03076171875,-0.365478515625,Moderate,1756552220552_Moderate
1756552014570,-0.148681640625,-0.9099121689796448,-0.177978515625,Moderate,1756552220552_Moderate
1756552014620,-0.013183592818677425,-1.14306640625,0.4812012016773224,Moderate,1756552220552_Moderate
1756552014675,0.3974609375,-1.2138671875,-0.285888671875,Moderate,1756552220552_Moderate
1756552014749,0.6083984375,-1.220703125,-0.06298828125,Moderate,1756552220552_Moderate
1756552014785,0.850341796875,-1.6672364473342896,0.24853515625,Moderate,1756552220552_Moderate
1756552014836,0.444580078125,-1.309814453125,-0.3408203125,Moderate,1756552220552_Moderate
1756552014890,-0.3369140625,-1.35400390625,0.76513671875,Moderate,1756552220552_Moderate
1756552014940,0.2402343899011612,-0.716796875,0.176513671875,Moderate,1756552220552_Moderate
1756552014995,0.48486328125,-1.12255859375,0.2587890625,Moderate,1756552220552_Moderate
1756552015054,-0.142578125,-0.91357421875,0.320068359375,Moderate,1756552220552_Moderate
1756552015106,-0.361083984375,-0.486083984375,0.33154296875,Moderate,1756552220552_Moderate
1756552015161,-0.53759765625,-0.4809570610523224,0.224365234375,Moderate,1756552220552_Moderate
1756552015217,-0.50927734375,-0.9846190810203552,-0.14013671875,Moderate,1756552220552_Moderate
1756552015267,2.5302734375,-2.4228515625,-1.0849609375,Moderate,1756552220552_Moderate
1756552015322,-0.30712890625,-1.1279296875,0.04736328125,Moderate,1756552220552_Moderate
